Código de Barras;Artículo
9001;9001 Cubre Camilla Blanco Ancho 60cm Largo 60m
7960;7960 Higienico Blanco 60m
40001;"40001 Film Stretch Manual Virgen 3"""
40002;40002 Film Stretch Automatico Virgen
40003;40003 Film Stretch con Manguito Virgen
40004;"40004 Film Stretch Cortes Virgen 3"""
50002;50002 Film Termocontraible Lamina 33/50 µm
40011;"40011 Film Stretch Manual C/Recuperado 3"""
40013;40013 Film Stretch con Manguito C/Recuperado
40012;40012 Film Stretch Automatico C/Recuperado
40014;"40014 Film Stretch Cortes C/Recuperado 3"""
7300A;7300A Jumbo Blanco x 300m
9101;9101 Cubre Camilla Beige Ancho 60cm Largo 60m
6010AA;6010AA Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm
6010A3;6010A3 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm
1001A3;1001A3 Toalla Blanca Ancho 20cm Largo 24cm en Caja de 1620u
1001A4;1001A4 Toalla Blanca Ancho 20cm Largo 24cm en Caja de 1260u
1101A3;1101A3 Toalla Beige Ancho 20cm Largo 24cm en Caja de 1620u
1101A4;1101A4 Toalla Beige Ancho 20cm Largo 24cm en Caja de 1260u
2010A;2010A Toalla Blanca Ancho 20cm Buje de 7,6cm
2011A;2011A Toalla Blanca Ancho 25cm Buje de 7,6cm
2110A;2110A Toalla Beige Ancho 20cm Buje de 7,6cm
2111A;2111A Toalla Beige Ancho 25cm Buje de 7,6cm
3010A;3010A Toalla Blanca Doble Hoja Ancho 20cm Buje de 7,6cm
3011A;3011A Toalla Blanca Doble Hoja Ancho 25cm Buje de 7,6cm
3110A;3110A Toalla Beige Doble Hoja Ancho 20cm Buje de 7,6cm
3111A;3111A Toalla Beige Doble Hoja Ancho 25cm Buje de 7,6cm
4000A;4000A Toalla Blanca Ancho 20cm Buje de 4,6cm
4001A;4001A Toalla Blanca Ancho 20cm Buje de 4,6cm
4100A;4100A Toalla Beige Ancho 20cm en Buje de 4,6cm
4101A;4101A Toalla Beige Ancho 20cm Buje de 4,6cm
4111A;4111A Toalla Blanca Ancho 20cm Buje de 4,6cm
4150A;4150A Toalla Blanca Ancho 20cm Buje de 4,6cm
4160;4160 Toalla Blanca Ancho 20cm Buje de 4,6cm
4160A;4160A Toalla Blanca Ancho 20cm Buje de 4,6cm
6010A4;6010A4 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm
6011A3;6011A3 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm
6011A4;6011A4 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm
6012A;6012A Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm
6110A;6110A Toalla Beige Doble Hoja Ancho 25cm Buje de 7,6cm
7300A3;7300A3 Jumbo Blanco x 300m
7310;7310 Jumbo Blanco x 300m
7310A;7310A Jumbo Blanco x 300m
7311;7311 Jumbo Blanco x 300m
7311A;7311A Jumbo Blanco x 300m
7301AA;7301AA Jumbo Blanco x 300m
7301A3;7301A3 Jumbo Blanco x 300m
7350AA;7350AA Jumbo Blanco x 350m
7600AA;7600AA Jumbo Blanco x 600m
7960A;7960A Higienico Blanco 60m
4160AA;4160AA Toalla Blanca Ancho 20cm Buje de 4,6cm
7310AA;7310AA Jumbo Blanco x 300m
8000;8000 Higienico Intercalado Blanco 20cm x 24cm
8506;8506 Servilleta Blanca Virgen 33cm x 32cm en Caja de 600u
