Código de Barras;Artículo;Peso;Diametro;Metros;Cant. Rollos
4160;4160 Toalla Blanca Ancho 20cm Buje de 4,6cm;9;16,5;150;9
4160A;4160A Toalla Blanca Ancho 20cm Buje de 4,6cm;8,1;16,5;130;9
6010A4;6010A4 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm;15,9;27;188;7
6011A3;6011A3 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;18;28,5;220;9
6011A4;6011A4 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;15,9;27;188;9
6012A;6012A Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;20,2;29;250;9
6110A;6110A Toalla Beige Doble Hoja Ancho 25cm Buje de 7,6cm;23,8;30;280;7
7300A3;7300A3 Jumbo Blanco x 300m;5;17;130;19
7310;7310 Jumbo Blanco x 300m;11,8;19;300;19
7310A;7310A Jumbo Blanco x 300m;8,3;19;250;19
7311;7311 Jumbo Blanco x 300m;11,8;19;300;19
7311A;7311A Jumbo Blanco x 300m;8,3;19;250;19
7301AA;7301AA Jumbo Blanco x 300m;5,6;18;150;19
7301A3;7301A3 Jumbo Blanco x 300m;5;17;120;19
7350AA;7350AA Jumbo Blanco x 350m;8;19;280;19
7600AA;7600AA Jumbo Blanco x 600m;10,1;22;250;19
7960A;7960A Higienico Blanco 60m;1,9;9,5;50;19
4160AA;4160AA Toalla Blanca Ancho 20cm Buje de 4,6cm;6,5;16;100;9
7310AA;7310AA Jumbo Blanco x 300m;5,6;18;150;19
8000;8000 Higienico Intercalado Blanco 20cm x 24cm;;;;
8506;8506 Servilleta Blanca Virgen 33cm x 32cm en Caja de 600u;;;;
8040;8040 Servilletas de Mesa 50 Paq, x 40u c/u;;;;
8100;8100 Servilletas de Mesa 20 Paq, x 100u c/u;;;;
6111A3;6111A3 Toalla Ecologica Doble Hoja Ancho 25cm Buje de 7,6cm;18;28,5;220;7
7311AA;7311AA Jumbo Blanco x 300m x 8u;5,6;18;150;19
50004;50004 Film Termocontraible Lamina 45/70 µm;;;;
50006;50006 Film Termocontraible Lamina 70/70 µm;;;;
60000;60000 Polietileno 70/50 µm;;;;
60001;60001 Polietileno 80/50 µm;;;;
60002;60002 Polietileno 10cm,;;;;
40015;40015 Film Stretch Cortes C/Recuperado 38/10cm,;;;;
40005;40005 Film Stretch Cortes Virgen 38/10cm,;;;;
50001;50001 Film Termocontraible Lamina 30/50 µm;;;;
50003;50003 Film Termocontraible Lamina 37/70 µm;;;;
50005;50005 Film Termocontraible Lamina 47/70 µm;;;;
40016;40016 Film Stretch Cortes C/Recuperado 7 1/2 c/ Manguito;;;;
6110A4;6110A4 Toalla Beige Doble Hoja Ancho 25cm Buje de 7,6cm;15,9;27;188;7
50007;50007 Film Termocontraible Lamina 64/50 µm x 1,20m;;;;
10030;10030 Secamanos de Acero Inoxidable por Aproximacion;;;;
7941;7941 Higienico Blanco 30u x 40 Mts;1,5;9,5;40;19
6011A5;6011A5 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;13;26;170;9
6010A5;6010A5 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm;13;26;170;7
7310A3;7310A3 Jumbo Blanco x 300m x 8u;5;17;120;19
4111AA;4111AA Toalla Blanca Ancho 20cm Buje de 4,6cmx 6u;3,5;13;80;9
7311A3;7311A3 Jumbo Blanco x 300m x 8u;5;17;120;19
1001; 1001 Toalla Blanca Ancho 20cm Largo 24cm en Caja de 2500u ;;;;
40017;40017 Film Stretch Cortes Virgen 38/25cm,;;;;
40018;40018 Film Stretch Cortes C/Recuperado 38/25cm,;;;;
7900A1;7900A1 Higienico Blanco 30u x 100m;;;;
6011A6;6011A6 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;12;25;150;10
6010A6;6010A6 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm;12;25;150;8
50008;50008 Termocontraible lamina 50/50 µm;;;;
8505;8505 Servilleta Blanca Vigen  33cm x 32cm en Caja de 500u;;;;
60003;60003 Polietileno 12/50 µm;;;;
7310A1;7310A1 Jumbo Blanco x 300m x 8u;7;18;200;19
4170;4170 Toalla Blanca Ancho 25cm Buje de 4,6cm;;;;
4170A;4170A Toalla Blanca Ancho 25cm Buje de 4,6cm;;;;
8060;8060 Eco Rollo de Cocina x 60 Hojas;;;;
50009;50009 Film Termocontraible Lamina 30/70 µm;;;;
7400;7400 Bobina Jumbo Blanco;;;;
1111;1111 Toalla Natural Ancho 20cm Largo 24cm en Caja de 2500u,;;;;
1111A;1111A Toalla Natural Ancho 20cm Largo 24cm en Caja de 2250u;;;;
1111AA;1111AA Toalla Natural Ancho 20cm Largo 24cm en Caja de 1900u;;;;
1111A3;1111A3 Toalla Natural Ancho 20cm Largo 24cm en Caja de 1620u;;;;
1111A4;1111A4 Toalla Natural Ancho 20cm Largo 24cm en Caja de 1260u;;;;
8505;8505 ECO Servilleta Blanca ECO 33cm x 32cm en Caja de 500u;;;;
8506;8506 ECO Servilleta Blanca ECO 33cm x 32cm en Caja de 600u;;;;
